increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
17,5579,-9.18,-12.52,3.53,342.05,Kent,M/2,left,9,sheep,Late Bronze Age,TRUE,0.52,summer
2,5580,-9.8,-4.34,18.65,179.05,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
4,5580,-10.13,-3.49,16.19,200.55,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
6,5580,-9.78,-4.82,13.38,225.11,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
8,5580,-8.79,-6.81,8.62,266.71,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
10,5580,-8.71,-9.72,4.66,301.32,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
12,5580,-8.62,-11.96,1.06,332.79,Kent,M/2,left,10,sheep,Late Bronze Age,TRUE,0.4,summer
1,5582,-11.51,-5.07,11.8,NA,Turgen,M/2,left,11,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
3,5582,-11.23,-6.03,8.33,NA,Turgen,M/2,left,11,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
5,5582,-10.88,-7.96,5.56,NA,Turgen,M/2,left,11,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
7,5582,-10.43,-9.55,2.43,NA,Turgen,M/2,left,11,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
1,5583,-10.66,-1.71,11.62,NA,Turgen,M/2,left,12,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
3,5583,-10.71,-3.68,8.47,NA,Turgen,M/2,left,12,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
5,5583,-10.55,-7.65,4.79,NA,Turgen,M/2,left,12,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
7,5583,-9.44,-11.14,1.34,NA,Turgen,M/2,left,12,sheep,Late Bronze Age/Iron Age,TRUE,NA,NA
2,5584,-10.21,-11.07,22.26,31.16,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
4,5584,-10.38,-8.42,18.88,78.57,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
6,5584,-10.71,-5.22,15.01,132.86,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
8,5584,-10.52,-2.46,12.19,172.42,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
10,5584,-10.7,-2.77,8.6,222.77,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
12,5584,-10.54,-4.94,5.22,270.18,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
14,5584,-10.35,-8.68,2.4,309.74,Turgen,M/2,left,13,sheep,Late Bronze Age/Iron Age,TRUE,0.4,summer
2,5586,-7.25,-5.19,16.89,183.35,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
4,5586,-6.3,-4.81,13.52,209.08,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
5,5586,-6.11,-5.91,11.71,222.9,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
6,5586,-5.48,-6.93,10.39,232.98,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
8,5586,-5.95,-9.44,7.27,256.8,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
10,5586,-4.53,-13.68,4.14,280.7,Turgen,M/2,left,14,sheep,Late Bronze Age/Iron Age,TRUE,0.31,spring
1,5587,-10.21,-6.51,27.59,309.6,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
3,5587,-10.14,-9.34,23.71,334.81,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
5,5587,-10.05,-10.47,20.02,358.78,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
7,5587,-10.07,-10.89,17.15,12.43,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
9,5587,-10.37,-10.79,13.73,34.65,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
11,5587,-10.78,-9.8,10.25,57.26,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
13,5587,-11.26,-7.43,7.25,76.75,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
15,5587,-11.61,-4.73,4.05,97.54,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
17,5587,-11.41,-3.06,1.24,115.8,Turgen,M/2,left,15,sheep,Late Bronze Age/Iron Age,TRUE,0.8,fall
1,5588,-6.44,-6.81,23.59,147.28,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
4,5588,-8.15,-3.66,17.88,179.69,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
6,5588,-8.41,-2.34,13.91,202.22,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
8,5588,-6.67,-3.36,11.16,217.83,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
10,5588,-6.28,-5.26,7.92,236.22,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
12,5588,-5.37,-7.91,4.91,253.31,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
14,5588,-3.83,-11.34,1.79,271.01,Turgen,M/2,left,16,sheep,Late Bronze Age/Iron Age,TRUE,0.23,spring
1,5589,-10.48,-3.68,9.26,133.6,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
2,5589,-9.88,-2.32,7.42,178.84,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
3,5589,-9.37,-2.64,5.67,221.88,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
4,5589,-9.31,-3.83,3.94,264.42,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
